Company,Description,Rating,Category,Response Rate,Average Response Rate,Solution Rate,Average Avaluation,Customer Retention
Zmar,Weak,32.4,"culture, leisure and fun",100%,39%,30%,10%,0%
Oceanário de Lisboa,Weak,23.1,"culture, leisure and fun","16,7%","9,2%","16,7%",45%,50%
See Tickets,Great,81.3,"culture, leisure and fun","95,4%","78,9%","87,4%","63,2%","67,3%"
3cket,Reasonable,50.1,"culture, leisure and fun",80%,74%,40%,40%,50%
StubHub,Reasonable,42.9,"culture, leisure and fun","89,2%","46,1%","39,8%","26,9%","30,8%"
Eskada Club,Weak,30.5,"culture, leisure and fun",40%,0%,50%,10%,0%
Lust in Rio,Unsatisfactory,1.5,"culture, leisure and fun",0%,0%,0%,10%,0%
Via Rápida,Unsatisfactory,1.5,"culture, leisure and fun",0%,0%,0%,10%,0%
Salvat Editores,Good,63.4,"culture, leisure and fun",100%,"95,7%",50%,60%,50%
Ediclube,Good,60.4,"culture, leisure and fun","95,7%",43%,"71,4%",38%,30%
Cordel de Prata,Good,60.3,"culture, leisure and fun","83,3%","23,3%","66,7%","67,5%",50%
Campo Pequeno,Good,68.9,"culture, leisure and fun",100%,"97,3%","85,7%",10%,0%
FIL - Feira Internacional de Lisboa,Reasonable,47.3,"culture, leisure and fun","66,7%","44,4%","44,4%",45%,50%
Coliseu dos Recreios,Unsatisfactory,10.0,"culture, leisure and fun",0%,0%,0%,0%,100%
IQOS,Good,79.2,"culture, leisure and fun",100%,100%,"85,8%","44,4%","45,8%"
Cultura do Tabaco,Good,77.1,"culture, leisure and fun",100%,"57,6%","95,2%",32%,60%
Tabacaria Rita Dourado,Unsatisfactory,10.0,"culture, leisure and fun",0%,0%,0%,0%,100%
Fotosport,Reasonable,41.5,"culture, leisure and fun",80%,"41,5%","36,8%","36,7%","33,3%"
Mi Amore,Weak,27.5,"culture, leisure and fun","44,4%",30%,"33,3%","12,5%",0%
O Nosso Casamento,Weak,23.4,"culture, leisure and fun",20%,14%,20%,40%,"33,3%"
UCI Cinemas,Good,75.9,"culture, leisure and fun","88,9%","85,6%","71,4%",70%,80%
CinemaCity,Good,70.7,"culture, leisure and fun",100%,68%,75%,20%,100%
Filmin,Weak,36.3,"culture, leisure and fun",50%,"2,5%",50%,26%,20%
LX Music,Good,64.7,"culture, leisure and fun",80%,28%,80%,50%,50%
Short Connection,Good,61.5,"culture, leisure and fun",80%,37%,80%,26%,40%
Kalorama,Good,60.3,"culture, leisure and fun","86,7%",38%,80%,"31,3%","12,5%"
Holmes Place,Great,81.8,sport gyms and clubs,100%,100%,"94,3%","37,8%","39,1%"
Fitness UP,Great,81.2,sport gyms and clubs,100%,100%,"93,1%","41,9%","33,3%"
Solinca,Good,78.1,sport gyms and clubs,100%,"99,5%","94,2%","28,3%","18,2%"
Decathlon,Reasonable,53.7,sport gyms and clubs,"93,1%","51,1%","44,2%","56,9%","60,5%"
Sport Zone,Reasonable,52.7,sport gyms and clubs,100%,"97,2%","35,7%","40,5%","42,6%"
JD Sports,Reasonable,43.1,sport gyms and clubs,100%,"88,3%","24,3%","36,4%","22,2%"
Prozis,Excelent,91.4,sport gyms and clubs,100%,"96,3%","97,7%","71,7%","73,9%"
EU NUTRITION,Great,88.3,sport gyms and clubs,100%,"95,7%","85,7%",74%,100%
MySuplementos,Great,86.8,sport gyms and clubs,100%,"99,4%","94,1%","55,3%",65%
Deeply,Reasonable,55.6,sport gyms and clubs,100%,"42,4%",56%,48%,40%
Berg Outdoor,Reasonable,47.7,sport gyms and clubs,50%,"3,3%",50%,70%,"66,7%"
Adidas,Weak,22.7,sport gyms and clubs,"17,2%","4,6%","18,5%","41,1%","48,1%"
Team Macau,Excelent,99.1,sport gyms and clubs,100%,100%,100%,94%,100%
PumpAddicted,Good,69.4,sport gyms and clubs,100%,100%,"85,7%",10%,0%
Time to Fitness 24,Good,64.1,sport gyms and clubs,"83,3%","68,3%",50%,70%,100%
Epda,Excelent,92.7,sport gyms and clubs,100%,"79,4%",100%,"82,3%","84,6%"
Loja Verde Online,Great,82.2,sport gyms and clubs,100%,"51,1%","88,9%","78,3%","83,3%"
PieroStore,Good,72.3,sport gyms and clubs,"85,7%","51,4%","85,7%",48%,60%
Futebol Clube do Porto,Weak,34.3,sport gyms and clubs,"30,4%","10,4%","31,8%",50%,"62,5%"
Sporting Clube de Portugal,Weak,20.5,sport gyms and clubs,0%,0%,0%,70%,100%
Sport Lisboa e Benfica,Unsatisfactory,14.9,sport gyms and clubs,"12,5%","2,8%","13,8%",29%,20%
Hidromania,Excelent,92.4,sport gyms and clubs,100%,"94,4%","93,8%","80,7%","92,9%"
BOXPT Equipment,Great,82.3,sport gyms and clubs,100%,"87,1%",100%,45%,25%
Fitnessdigital,Great,81.1,sport gyms and clubs,100%,90%,"87,5%","58,8%",50%
Federação Portuguesa de Ciclismo,Weak,39.0,sport gyms and clubs,"57,1%",0%,"42,9%","56,7%","33,3%"
FPF - Federação Portuguesa de Futebol,Weak,29.3,sport gyms and clubs,"33,3%","7,9%","33,3%","32,5%","32,5%"
Liga Portugal,Unsatisfactory,16.5,sport gyms and clubs,20%,20%,20%,10%,0%
Skydive Maia,Good,70.9,sport gyms and clubs,100%,"57,1%","85,7%",30%,50%
Skydive Porto,Good,68.8,sport gyms and clubs,"92,3%","53,8%",100%,10%,0%
GlobalSport,Reasonable,53.3,sport gyms and clubs,"83,3%",40%,"66,7%",24%,20%
Centro Educacional de Lisboa,Excelent,99.3,"education, training and employment",100%,100%,100%,95%,100%
Esneca,Excelent,90.0,"education, training and employment",100%,"96,3%",100%,64%,60%
Do It Better,Great,89.6,"education, training and employment",100%,100%,100%,"58,3%","58,3%"
Talenter,Excelent,91.7,"education, training and employment",100%,"76,9%",100%,"76,3%","87,5%"
Adecco,Great,88.4,"education, training and employment",100%,100%,100%,56%,50%
Manpower,Good,76.4,"education, training and employment",100%,"97,1%","84,2%","44,6%","30,8%"
NOVA FCSH,Great,84.1,"education, training and employment",100%,"71,4%","85,7%",70%,100%
Universidade de Coimbra,Good,66.6,"education, training and employment",100%,"6,4%","90,9%",28%,60%
Instituto Politécnico de Bragança,Reasonable,59.5,"education, training and employment",60%,40%,75%,0%,100%
British Council Portugal,Reasonable,50.5,"education, training and employment","66,7%","30,8%","58,3%",40%,40%
Wall Street English,Reasonable,49.4,"education, training and employment","84,6%","50,8%","45,5%",44%,40%
Centro Europeu de Línguas,Weak,36.8,"education, training and employment","52,4%","4,8%",55%,"22,3%",0%
Externato do Parque,No data,,"education, training and employment",0%,0%,0%,0%,100%
Externato e Infantário Nobel,No data,,"education, training and employment",0%,0%,0%,100%,100%
Colégio Guadalupe,No data,,"education, training and employment",0%,0%,0%,0%,100%
Grande Sábio,No data,,"education, training and employment",0%,0%,0%,0%,100%
Génios e Provérbios,No data,,"education, training and employment",0%,0%,0%,0%,100%
Centro de Estudos Cuca Matuta,No data,,"education, training and employment",100%,0%,0%,100%,100%
OnlineCurriculo.com,Weak,29.9,"education, training and employment","35,5%","19,7%","23,1%","56,7%","33,3%"
Online CV,Weak,24.3,"education, training and employment","57,1%","57,1%",0%,0%,100%
CVBuilder,Unsatisfactory,5.8,"education, training and employment","7,1%",0%,"7,1%",10%,0%
Jardim de Infância Nossa Senhora de Fátima,No data,,"education, training and employment",0%,0%,0%,0%,100%
O Teu Filho,No data,,"education, training and employment",100%,0%,100%,10%,0%
Centro Social da Paróquia de Nogueira,No data,,"education, training and employment",0%,0%,0%,0%,100%
Indebt,Great,88.5,"companies, services and associations",100%,"91,8%",100%,65%,50%
Recactiv,Good,78.4,"companies, services and associations",100%,"94,5%",80%,"61,7%",50%
Reconfinance,Good,68.7,"companies, services and associations",100%,38%,100%,20%,0%
CENTURY 21 Portugal,Great,80.8,"companies, services and associations",100%,100%,100%,"26,4%","18,2%"
Remax,Good,78.7,"companies, services and associations",100%,100%,"84,2%","44,2%",50%
KW Portugal,Reasonable,43.4,"companies, services and associations","77,8%",60%,"33,3%",0%,100%
Servigrupo - Condomínios,Excelent,91.5,"companies, services and associations",100%,100%,100%,60%,75%
Norte Condomínios,Good,77.3,"companies, services and associations",100%,"93,7%",100%,"17,5%","6,3%"
Sultanato,Good,62.2,"companies, services and associations","83,3%","48,3%","66,7%",55%,50%
UNICEF Portugal,Great,81.8,"companies, services and associations","91,7%",30%,100%,"76,7%","66,7%"
Sorriso Solidário,Good,68.4,"companies, services and associations",100%,"71,1%","55,6%",80%,80%
SUCH,Good,63.4,"companies, services and associations",100%,"4,4%","81,3%","47,5%",50%
Carneiro Pacheco e Associados ,Good,73.0,"companies, services and associations",100%,"21,1%",100%,"27,1%","57,1%"
Centro de Arbitragem do Sector Automóvel,Weak,30.9,"companies, services and associations","42,9%","14,3%","38,5%",35%,0%
Luís Carvalho & David Roque,Weak,25.1,"companies, services and associations",50%,"11,7%","16,7%",0%,100%
Liqui.do,Reasonable,54.1,"companies, services and associations","84,8%","72,7%","45,5%",50%,"44,4%"
Raize,Reasonable,45.0,"companies, services and associations",90%,80%,40%,"17,1%","14,3%"
Lisgarante,Weak,32.5,"companies, services and associations",40%,0%,40%,40%,25%
Doutor Finanças,Excelent,98.5,"companies, services and associations",100%,100%,100%,90%,100%
Resolva a Sua Dívida,Excelent,92.0,"companies, services and associations",100%,"68,8%",100%,"86,3%","87,5%"
Crédito ValorOk,Great,82.8,"companies, services and associations",100%,"92,5%",100%,"42,5%",25%
IAD Portugal,Good,78.2,"companies, services and associations",100%,"73,3%",100%,"36,7%","16,7%"
NORFIN,Reasonable,57.2,"companies, services and associations","84,6%","72,6%","58,5%","37,4%","30,4%"
Hall Portugal,Reasonable,44.5,"companies, services and associations",100%,20%,60%,10%,0%
12avos,Good,65.8,"companies, services and associations",100%,0%,100%,"16,7%","33,3%"
Calculalecrim,No data,,"companies, services and associations",0%,0%,0%,0%,100%
LEXCONTA,No data,,"companies, services and associations",100%,0%,100%,100%,100%
Partido CHEGA!,Weak,33.9,"companies, services and associations",20%,14%,20%,65%,100%
PS,Unsatisfactory,16.5,"companies, services and associations","22,2%","11,1%","22,2%",10%,0%
PSD,Unsatisfactory,11.5,"companies, services and associations","16,7%",0%,"16,7%",10%,0%
Servilusa,Unsatisfactory,11.5,"companies, services and associations","16,7%",0%,"16,7%",10%,0%
Espiga Mágica,No data,,"companies, services and associations",100%,0%,100%,100%,100%
Patriarcado de Lisboa,No data,,"companies, services and associations",0%,0%,0%,10%,0%
Me Group Portugal,Excelent,92.8,marketing and advertising office,"83,3%","73,3%",100%,90%,100%
Dreambooks,Great,87.1,marketing and advertising office,100%,"94,5%","88,9%","65,7%","85,7%"
360Imprimir,Great,86.6,marketing and advertising office,100%,100%,"99,5%","44,9%","51,1%"
Staples,Reasonable,58.2,marketing and advertising office,100%,"90,5%","47,4%","42,7%","45,5%"
note!,Reasonable,56.2,marketing and advertising office,"97,4%",96%,"55,1%",23%,"10,8%"
Pmelink.pt,Weak,39.0,marketing and advertising office,60%,38%,40%,15%,50%
My Tinteiros,Good,72.3,marketing and advertising office,"98,8%","84,8%","83,3%",28%,"38,6%"
WebTinteiro,Good,70.7,marketing and advertising office,"87,2%","60,8%","84,6%","40,6%","44,4%"
Tinteiros Low Cost,Good,66.1,marketing and advertising office,80%,24%,80%,30%,100%
AUPPER,Reasonable,42.1,marketing and advertising office,55%,27%,50%,"31,4%","28,6%"
Teleperformance,Weak,27.9,marketing and advertising office,"21,1%","7,9%","21,6%","55,5%","54,5%"
Reditus,Unsatisfactory,9.2,marketing and advertising office,"11,4%","4,9%","11,4%","10,8%",0%
TLC Marketing,Good,67.7,marketing and advertising office,92%,"71,6%",68%,"50,8%","61,5%"
UON,Good,66.9,marketing and advertising office,100%,"86,7%","77,8%",25%,"12,5%"
FollowLike,Reasonable,57.2,marketing and advertising office,"66,7%","53,3%",60%,50%,50%
Kantar Worldpanel,Great,88.1,marketing and advertising office,100%,"91,4%",100%,"51,7%","66,7%"
PhD Trials,Good,70.0,marketing and advertising office,"72,7%","44,5%","72,7%","74,3%","85,7%"
Netsonda,Good,68.3,marketing and advertising office,100%,"94,6%","64,7%","47,7%","45,7%"
H3 Hambúrguer Gourmet,Excelent,92.8,food and beverage,100%,"92,2%",100%,80%,70%
Go Natural,Good,64.2,food and beverage,"92,3%","38,5%","92,3%",20%,0%
Vitaminas,Reasonable,56.9,food and beverage,"68,8%","36,9%",50%,"63,3%",100%
Domino's Pizza,Great,83.4,food and beverage,100%,86%,"87,9%","62,4%","71,6%"
Telepizza,Great,82.1,food and beverage,100%,100%,"86,3%",53%,60%
Papa John’s Pizza,Good,72.8,food and beverage,100%,"85,6%","66,7%","66,7%","66,7%"
Delta Cafés,Good,73.4,food and beverage,100%,"70,7%","84,6%","36,7%",50%
Delta Q,Good,70.6,food and beverage,100%,"96,6%","52,5%","77,9%","82,1%"
Dolce Gusto,Good,65.0,food and beverage,100%,"96,4%",52%,"58,3%","58,3%"
EatTasty,Great,83.1,food and beverage,100%,69%,100%,58%,40%
A Marmita,Good,79.5,food and beverage,100%,"55,6%",100%,41%,50%
BRING EAT!,Good,75.2,food and beverage,100%,70%,80%,"53,3%","66,7%"
Pão em casa,Good,78.9,food and beverage,100%,"76,4%","90,9%",40%,60%
Pau de Canela,Good,73.2,food and beverage,100%,78%,100%,10%,0%
Hussel,Good,71.1,food and beverage,"85,7%",70%,"57,1%",90%,100%
Nobre,Excelent,90.6,food and beverage,100%,"74,4%",100%,76%,80%
Saludães,Good,67.8,food and beverage,"83,3%","61,7%","66,7%","62,5%",75%
Caçarola,Good,66.0,food and beverage,100%,"88,5%","38,5%",90%,100%
Sumol+Compal,Great,84.5,food and beverage,100%,"82,5%",100%,"47,5%",50%
Pepsi,Weak,32.5,food and beverage,"33,3%","16,7%","33,3%",0%,100%
Coca-Cola,Weak,22.4,food and beverage,"20,5%",0%,"20,5%",41%,40%
Super Bock,Weak,24.7,food and beverage,"23,1%","5,4%","23,1%",40%,40%
Sagres,Unsatisfactory,10.3,food and beverage,0%,0%,0%,35%,50%
Cerveja +351,No data,,food and beverage,0%,0%,0%,0%,100%
Fonte Viva,Great,82.1,food and beverage,100%,100%,"91,3%","37,1%","58,8%"
Cafécop,Reasonable,56.6,food and beverage,100%,"78,3%",50%,"43,3%","33,3%"
"Serdial Vending, S.A.",Reasonable,50.2,food and beverage,75%,"49,2%","33,3%","67,1%","85,7%"
Água de Luso,No data,,food and beverage,"66,7%","33,3%","66,7%",50%,100%
Água das Pedras,No data,,food and beverage,0%,0%,0%,100%,100%
Vitalis,No data,,food and beverage,0%,0%,0%,0%,100%
Mimosa,Excelent,99.8,food and beverage,100%,100%,100%,"98,3%",100%
Vigor,Great,81.2,food and beverage,"87,5%","83,8%","87,5%","63,3%","66,7%"
AGROS,Good,72.9,food and beverage,"69,2%","61,5%","69,2%","91,7%","83,3%"
TheFork,Good,69.1,food and beverage,100%,88%,"73,7%","36,4%","36,4%"
Zomato,Weak,34.0,food and beverage,40%,0%,40%,0%,100%
Vegaoo,Weak,39.9,food and beverage,"81,8%","65,5%","36,4%",25%,0%
Gertal,Weak,31.4,food and beverage,90%,71%,0%,45%,50%
ITAU,Unsatisfactory,18.9,food and beverage,"85,7%","57,1%",0%,"11,4%",0%
Gourmet Da Vila,Good,69.2,food and beverage,100%,26%,100%,22%,20%
Wine House Portugal,Good,67.1,food and beverage,100%,15%,100%,"22,9%","14,3%"
Garrafeira Nacional,Good,64.5,food and beverage,"77,8%",40%,"77,8%",50%,"42,9%"
Sushi at Home,Excelent,96.8,food and beverage,100%,"83,3%",100%,95%,100%
Portugália Cervejaria,Great,80.8,food and beverage,"88,9%","34,4%","87,5%","86,7%",100%
Home Sweet Sushi,Good,74.6,food and beverage,100%,84%,60%,80%,100%
Euro Revenda,Weak,39.7,food and beverage,"53,1%","19,3%","44,4%",38%,36%
Talhos Silau,Unsatisfactory,14.9,food and beverage,"12,5%","12,5%","12,5%",20%,25%
Rota das Indias,Unsatisfactory,14.1,food and beverage,"22,2%","5,6%","16,7%",10%,"12,5%"
Olá Gelados,Unsatisfactory,1.5,food and beverage,0%,0%,0%,10%,0%
Choco&Nut,No data,,food and beverage,0%,0%,0%,0%,100%
Weeel Frozen Yogurt,No data,,food and beverage,0%,0%,0%,0%,100%
Auchan,Good,76.2,hyper and supermarkets,"93,3%","49,7%","96,5%","43,2%","46,8%"
Continente,Good,73.5,hyper and supermarkets,"98,5%","94,3%","72,8%","48,2%","58,7%"
Mercadona,Great,87.1,hyper and supermarkets,100%,100%,"91,7%",62%,70%
Pingo Doce,Great,85.0,hyper and supermarkets,100%,100%,"95,9%","46,4%","50,5%"
ALDI Portugal,Great,82.6,hyper and supermarkets,100%,100%,"95,6%","38,8%",40%
Meu Super,Good,78.1,hyper and supermarkets,100%,80%,"94,9%","32,5%","37,5%"
Froiz,Good,67.3,hyper and supermarkets,100%,55%,75%,10%,100%
Supermercados Coviran,Reasonable,47.0,hyper and supermarkets,"72,7%","26,4%","54,5%",30%,40%
Recheio,Good,79.9,hyper and supermarkets,100%,"66,2%","90,9%",60%,"55,6%"
MAKRO,Unsatisfactory,15.7,hyper and supermarkets,"26,1%","6,1%","17,4%",15%,"12,5%"
JMDB,No data,,hyper and supermarkets,100%,0%,100%,100%,100%
STP Airways,Good,69.2,"hotels, travel and tourism",100%,48%,75%,30%,100%
Azores Airlines,Reasonable,53.7,"hotels, travel and tourism","86,4%","2,7%",65%,41%,60%
Emirates,Reasonable,42.8,"hotels, travel and tourism","28,6%","14,3%","28,6%",90%,100%
Dellasol,Excelent,94.7,"hotels, travel and tourism",100%,100%,"91,7%","95,7%","95,7%"
Viagens El Corte Inglés,Great,89.8,"hotels, travel and tourism",100%,"32,1%",100%,100%,100%
Top Atlântico,Good,66.2,"hotels, travel and tourism",100%,78%,70%,30%,50%
New Ellite Club,Good,67.6,"hotels, travel and tourism","86,7%","57,3%",80%,42%,40%
Timeshare Revendas,Weak,28.4,"hotels, travel and tourism","73,9%","19,1%","26,1%","11,7%","33,3%"
Ponta Grande Vacation Club,Weak,21.3,"hotels, travel and tourism","27,8%","1,1%","27,8%",30%,0%
Golden Club Cabanas,Reasonable,57.6,"hotels, travel and tourism",100%,"54,2%","58,3%",42%,40%
Hotel O Alambique de Ouro,Reasonable,43.4,"hotels, travel and tourism","57,1%","45,7%","42,9%",36%,40%
Hotel Rali Viana,Reasonable,41.6,"hotels, travel and tourism",40%,24%,40%,60%,50%
Dolfi1920,Reasonable,54.1,"hotels, travel and tourism",100%,"94,2%","36,8%","47,5%","43,8%"
Samsonite,Reasonable,51.1,"hotels, travel and tourism","85,7%","81,4%",50%,"13,3%","33,3%"
Império das Malas,Weak,20.5,"hotels, travel and tourism",60%,20%,20%,10%,0%
Destinia,Great,86.0,"hotels, travel and tourism",60%,48%,100%,85%,100%
iCliGo,Good,62.2,"hotels, travel and tourism",100%,"42,2%","77,8%","27,1%","28,6%"
Flykube,Reasonable,50.0,"hotels, travel and tourism","83,3%","35,8%","58,3%","28,6%","28,6%"
Grupo Interpass,Good,65.7,"hotels, travel and tourism",100%,100%,"71,4%","20,6%","18,8%"
Odisseias,Good,62.1,"hotels, travel and tourism",100%,"98,8%","51,7%","44,5%","47,6%"
Goodlife,Reasonable,59.7,"hotels, travel and tourism","91,4%","53,8%","65,8%","34,5%","44,2%"
Hotéis Vila Galé,Reasonable,53.3,"hotels, travel and tourism","54,5%","12,7%","54,5%","67,1%","85,7%"
SANA Hotels,Reasonable,47.2,"hotels, travel and tourism",80%,48%,20%,80%,100%
Luna Hoteis,Reasonable,46.5,"hotels, travel and tourism","68,8%","44,4%",50%,"34,3%","28,6%"
Groundforce Portugal,Reasonable,49.6,"hotels, travel and tourism",100%,"94,6%","32,4%",30%,"46,7%"
Portway,Weak,26.4,"hotels, travel and tourism","64,3%","36,4%","23,1%",20%,0%
ANA Aeroportos de Portugal,Unsatisfactory,4.4,"hotels, travel and tourism","3,4%","1,1%",4%,"12,6%",0%
Hotel da Montanha,Reasonable,45.0,"hotels, travel and tourism",60%,0%,60%,60%,0%
Clube Praia da Rocha,Unsatisfactory,10.0,"hotels, travel and tourism",0%,0%,0%,0%,100%
Smart Studios,Unsatisfactory,10.0,"hotels, travel and tourism",0%,0%,0%,0%,100%
Ideal Casa,Weak,35.9,"hotels, travel and tourism","40,8%",9%,"38,8%","37,3%","54,5%"
Costa Cruzeiros,Weak,31.6,"hotels, travel and tourism",30%,10%,30%,"47,5%",50%
Flytime,Unsatisfactory,17.4,"hotels, travel and tourism",25%,"21,3%","12,5%",20%,25%
Traventia,Good,67.4,"hotels, travel and tourism",100%,"66,3%","62,5%","63,3%","66,7%"
Stayforlong,Reasonable,53.9,"hotels, travel and tourism","66,7%","32,2%","66,7%",34%,40%
Uniplaces,Reasonable,52.7,"hotels, travel and tourism",100%,"83,9%","43,5%",29%,40%
Worten,Great,87.2,"informatics, technology and sound",100%,100%,"97,1%","52,6%","57,8%"
Radio Popular,Good,74.1,"informatics, technology and sound",100%,100%,"86,1%","27,4%","19,6%"
FNAC,Weak,21.0,"informatics, technology and sound","19,6%","5,9%","20,1%","32,6%","31,5%"
Powerplanetonline,Great,86.3,"informatics, technology and sound",100%,100%,100%,"45,6%","44,2%"
iServices,Great,85.0,"informatics, technology and sound",100%,100%,"97,7%","44,5%","44,8%"
iStore,Great,82.9,"informatics, technology and sound",100%,"99,1%","95,4%","40,3%","43,2%"
Globaldata,Excelent,92.2,"informatics, technology and sound",100%,"98,1%",100%,"68,2%","72,7%"
PcComponentes,Great,87.4,"informatics, technology and sound",100%,100%,100%,"44,7%","56,7%"
PCDIGA,Great,84.6,"informatics, technology and sound",100%,100%,"96,3%","45,3%",46%
Castro Electrónica,Great,86.0,"informatics, technology and sound",100%,100%,"99,4%","46,8%","42,9%"
Aquário Electrónica,Great,85.3,"informatics, technology and sound",100%,100%,"99,3%",44%,"40,4%"
Eradigital,Great,85.3,"informatics, technology and sound",100%,90%,100%,45%,50%
BQ,Reasonable,45.3,"informatics, technology and sound","88,7%","61,9%","35,8%",40%,"31,8%"
LG Electronics,Weak,32.5,"informatics, technology and sound","57,8%",31%,"29,3%","32,2%","26,1%"
HTC,Weak,27.2,"informatics, technology and sound","42,9%",0%,"42,9%",10%,0%
DNS.pt,Great,83.8,"informatics, technology and sound",100%,45%,100%,60%,80%
Dominios.pt,Great,82.8,"informatics, technology and sound",100%,100%,100%,30%,"33,3%"
Hostinger,Great,80.8,"informatics, technology and sound",100%,"62,7%","90,9%",66%,60%
Medion,Good,66.7,"informatics, technology and sound",80%,48%,100%,10%,0%
Insys,Reasonable,57.6,"informatics, technology and sound","57,1%","22,9%","66,7%","56,7%","66,7%"
TP-LINK,Reasonable,55.6,"informatics, technology and sound",100%,94%,40%,50%,40%
YOU GET,Great,84.0,"informatics, technology and sound",100%,"61,7%",100%,65%,50%
Deccare - Sistemas de Informação,Great,82.0,"informatics, technology and sound",100%,"93,3%","77,8%","71,7%","83,3%"
CSTech Portugal,Good,77.4,"informatics, technology and sound",100%,94%,80%,55%,50%
Pelicula de Vidro,Excelent,99.1,"informatics, technology and sound",100%,94%,100%,100%,100%
Lmobile,Excelent,96.5,"informatics, technology and sound",100%,100%,100%,90%,80%
Copertini,Great,87.7,"informatics, technology and sound",100%,"95,4%",100%,"56,3%",50%
Press Start,Excelent,93.0,"informatics, technology and sound",100%,100%,100%,70%,75%
CeX,Great,81.6,"informatics, technology and sound",100%,"82,3%","88,9%","55,7%","64,3%"
Player,Good,73.5,"informatics, technology and sound",75%,45%,75%,"78,3%",100%
Império Multimédia,Excelent,94.1,"informatics, technology and sound",100%,100%,100%,"71,7%","83,3%"
Infocomputer Portugal,Excelent,90.5,"informatics, technology and sound","92,9%","97,9%","83,3%","99,1%",100%
nanoChip,Great,82.4,"informatics, technology and sound",100%,"75,7%",100%,40%,50%
RECONDICIONADOS.PT,Excelent,92.3,"informatics, technology and sound",100%,"73,3%",100%,75%,100%
DVD.pt,Great,83.1,"informatics, technology and sound",100%,"74,3%",100%,"46,7%",50%
fmTEK - Informatica,Reasonable,52.6,"informatics, technology and sound",100%,"83,8%","57,1%",10%,0%
Rhinocamera.pt,Good,62.0,"informatics, technology and sound","82,5%","35,8%",80%,35%,"31,8%"
Colorfoto,Unsatisfactory,15.6,"informatics, technology and sound",20%,14%,20%,10%,0%
Niobo,No data,,"informatics, technology and sound",100%,70%,100%,10%,100%
CDGO.COM,Good,79.9,"informatics, technology and sound",100%,48%,100%,40%,"66,7%"
Centro Sony,Reasonable,55.8,"informatics, technology and sound","73,9%","29,1%","73,9%",34%,20%
Thomann,Reasonable,51.1,"informatics, technology and sound","66,7%",20%,"66,7%","37,5%",25%
Fujifilm,Good,79.2,"informatics, technology and sound",100%,38%,80%,90%,100%
SONY,Weak,21.1,"informatics, technology and sound","18,5%","10,6%","19,7%","33,6%",28%
Nikon,Unsatisfactory,12.4,"informatics, technology and sound","16,7%","5,8%","16,7%",10%,0%
OLX,Great,86.0,internet sites and business,100%,100%,"95,1%","51,7%","57,5%"
CustoJusto.pt,Great,81.9,internet sites and business,100%,"74,3%","71,4%",100%,100%
Coisas.com,Reasonable,55.9,internet sites and business,"87,5%","19,2%","83,3%",10%,"11,1%"
Joom,Excelent,94.1,internet sites and business,100%,100%,100%,"77,5%",75%
LightInTheBox,Reasonable,45.3,internet sites and business,"37,5%","8,8%",60%,35%,50%
MiniIntheBox,Weak,35.8,internet sites and business,"46,7%",6%,"46,7%",35%,"16,7%"
Eurocupon,Good,76.7,internet sites and business,"99,5%","81,7%",97%,"28,3%","17,9%"
TopVendas,Good,70.8,internet sites and business,100%,75%,"61,1%",60%,100%
Livoo,Good,62.4,internet sites and business,"80,7%","17,3%","77,3%","43,4%","65,8%"
KuantoKusta,Great,84.1,internet sites and business,100%,"99,5%","97,3%","43,3%","40,6%"
